EvaluationIndex,LevelIndex,Score,LevelStatus
283,573,25440,Fail
284,850,5830,Fail
285,993,19150,Fail
286,1137,20410,Fail
287,635,34560,Fail
288,435,28470,Fail
289,998,25670,Fail
290,967,18550,Fail
291,245,5430,Fail
292,636,12830,Fail
293,855,17160,Fail
294,928,13520,Fail
295,1193,11680,Fail
296,669,25580,Fail
297,664,44840,Fail
298,296,4680,Fail
299,836,16510,Fail
300,675,36680,Fail
301,464,30760,Fail
302,1120,18000,Fail
303,746,47330,Fail
304,954,14420,Fail
305,517,21660,Fail
306,14,43780,Fail
307,1209,19890,Fail
308,1209,15800,Fail
309,880,36390,Fail
310,683,1390,Fail
311,109,40370,Fail
312,386,34450,Pass
313,362,41230,Pass
314,909,5200,Fail
315,325,13960,Fail
316,106,28040,Fail
317,761,74770,Pass
318,809,41550,Fail
319,468,26000,Fail
320,1282,8920,Fail
321,708,84510,Pass
322,60,14780,Fail
323,1184,11590,Fail
324,670,19500,Fail
325,424,28130,Fail
326,452,16440,Fail
327,54,12860,Fail
328,447,54280,Pass
329,1153,39800,Fail
330,41,950,Fail
331,836,16060,Fail
332,740,49520,Pass
333,1137,22140,Fail
334,1126,39000,Fail
335,123,29000,Fail
336,51,49130,Fail
337,553,10010,Fail
338,763,12580,Fail
339,230,32450,Pass
340,391,30270,Pass
341,230,38680,Pass
342,1103,29370,Fail
343,615,25300,Fail
344,1266,28880,Fail
345,499,550,Fail
346,280,30960,Pass
347,662,6890,Fail
348,556,25870,Fail
349,272,1060,Fail
350,45,23110,Fail
351,447,10130,Fail
352,531,17790,Fail
353,375,8030,Pass
354,1300,43620,Pass
355,323,16980,Pass
356,648,37510,Fail
357,634,31500,Fail
358,757,39640,Fail
359,422,40470,Fail
360,445,41860,Fail
361,883,23000,Fail
362,1061,19550,Fail
363,1102,29270,Fail
364,404,29620,Fail
365,334,30300,Pass
366,993,4810,Fail
367,504,5450,Fail
368,927,20690,Fail
369,1199,7820,Fail
370,640,23800,Fail
371,783,86080,Pass
372,1002,14080,Fail
373,483,24000,Fail
374,672,22680,Fail
375,872,500,Fail
376,838,36550,Fail
377,448,1980,Fail
378,674,8650,Fail
379,209,32140,Pass
380,478,54160,Pass
381,754,53860,Pass
382,1083,15620,Fail
383,152,34040,Fail
384,885,18510,Fail
385,250,29430,Pass
